Rank,Alumni_Salary,Total_Annual_Cost,Name,City,State,Public_Private,,Student_Population,Net_Price,Average_Grant_Aid,Acceptance_Rate,Undergraduate_Population,Average_ACT,,SAT_Lower,SAT_Upper,ACT_Lower,ACT_Upper,,Website,,,
158,104000,68296,St. Lawrence University,Canton,NY,Private,,2493,17669,31866,48,2468,28,,1205,1365,26,30,,www.stlawu.edu,,,
159,100800,53424,Michigan State University,East Lansing,MI,Public,,50019,19725,10911,72,42252,25.5,,1100,1320,23,28,,www.msu.edu,,,
160,99400,44251,University of Iowa,Iowa City,IA,Public,,32166,20367,8045,86,27051,25.5,,1140,1370,23,28,,www.uiowa.edu,,,
161,95300,57214,Saint Louis University,St. Louis,MO,Private,,14581,22998,23580,64,14373,28,,1170,1390,25,31,,www.slu.edu,,,
162,113700,59607,Seattle University,Seattle,WA,Private,,7278,14237,22438,74,5250,26.5,,1130,1330,24,29,,www.seattleu.edu/default.aspx,,,
163,99337,66200,Manhattan School of Music,New York,NY,Private,,1007,59980,24906,43,451,0,,,,,,,,,,
164,94500,59267,Kalamazoo College,Kalamazoo,MI,Private,,1469,23424,29059,73,1436,28,,1180,1380,26,30,,www.kzoo.edu,,,
165,105000,57680,University of Dayton,Dayton,OH,Private,,10882,17220,21293,72,8660,26.5,,1100,1310,24,29,,www.udayton.edu,,,
166,104500,49954,Auburn University,Auburn,AL,Public,,29776,17535,9030,84,23846,27,,1130,1310,24,30,,www.auburn.edu,,,
167,105100,60854,Saint Joseph's University (PA),Philadelphia,PA,Private,,8085,17175,23892,77,5705,25.5,,1110,1290,23,28,,www.sju.edu,,,
168,99400,56890,University of Vermont,Burlington,VT,Public,,13340,20364,16347,67,12945,27.5,,1180,1350,25,30,,www.uvm.edu,,,
169,90500,46474,Samford University,Birmingham,AL,Private,,5509,26292,14879,83,3446,26,,1080,1280,23,29,,www.samford.edu,,,
170,107600,57350,Gonzaga University,Spokane,WA,Private,,7506,16069,21169,65,5333,28,,1180,1350,26,30,,www.gonzaga.edu,,,
171,96600,57749,Wofford College,Spartanburg,SC,Private,,1737,22032,28158,69,1678,29.5,,1120,1310,29,30,,www.wofford.edu,,,
172,106900,64984,Providence College,Providence,RI,Private,,4646,16249,26359,52,4484,28,,1160,1330,26,30,,www.providence.edu/Pages/default.aspx,,,
173,101300,63510,University of Puget Sound,Tacoma,WA,Private,,2701,19325,21534,84,2545,0,,,,,,,www.pugetsound.edu,,,
174,107100,39172,"CUNY, Baruch College",New York,NY,Public,,18775,16192,8944,29,18289,0,,1190,1350,,,,www.baruch.cuny.edu,,,
175,111200,64520,Loyola University Maryland,Baltimore,MD,Private,,5783,14633,26091,75,4175,0,,,,,,,www.loyola.edu,,,
176,107800,42981,"SUNY, Stony Brook (Stony Brook University)",Stony Brook,NY,Public,,25989,15859,9968,42,19871,28.5,,1210,1410,26,31,,www.stonybrook.edu,,,
177,105700,51672,George Mason University,Fairfax,VA,Public,,35984,16934,8567,81,32249,27,,1100,1290,24,30,,www.gmu.edu,,,
178,99400,69464,Chapman University,Orange,CA,Private,,9392,20356,26378,57,6756,27.5,,1190,1360,25,30,,www.chapman.edu,,,
179,101900,65330,Muhlenberg College,Allentown,PA,Private,,2535,18627,25282,48,2367,27.5,,1140,1340,25,30,,www.muhlenberg.edu,,,
180,105900,55273,Marquette University,Milwaukee,WI,Private,,11426,16721,20717,89,8486,26.5,,1130,1310,24,29,,www.marquette.edu,,,
181,102800,40104,San Diego State University,San Diego,CA,Public,,35158,18432,7549,35,31609,25.5,,1090,1290,23,28,,www.sdsu.edu,,,
182,109700,68177,Northeastern University,Boston,MA,Private,,21489,15286,34691,27,18760,33,,1370,1520,32,34,,www.northeastern.edu,,,
183,104700,64054,"University of California, Santa Cruz",Santa Cruz,CA,Public,,19457,17522,18050,51,17925,28.5,,1160,1340,26,31,,www.ucsc.edu,,,
184,93200,62086,Lewis &amp; Clark College,Portland,OR,Private,,3339,24242,25539,71,2174,29,,1210,1390,27,31,,www.lclark.edu,,,
185,107300,51064,Miami University (OH),Oxford,OH,Public,,19700,16188,11894,68,18239,28.5,,1190,1380,26,31,,miamioh.edu,,,
186,100900,44110,"Arizona State University, Tempe",Tempe,AZ,Public,,51164,19686,12081,84,46038,25.5,,1120,1350,22,29,,www.asu.edu,,,
187,102600,42916,University of Utah,Salt Lake City,UT,Public,,32800,18509,7990,66,28686,25.5,,1110,1350,22,29,,www.utah.edu,,,
188,100600,43764,"University of Oklahoma, Norman",Norman,OK,Public,,28527,19807,9372,74,24255,26,,1150,1380,23,29,,www.ou.edu,,,
189,101000,54880,Marist College,Poughkeepsie,NY,Private,,6657,19409,15637,43,6236,0,,,,,,,www.marist.edu,,,
190,108500,69775,Hobart and William Smith Colleges,Geneva,NY,Private,,2295,15615,25110,64,2244,27.5,,1150,1330,25,30,,www.hws.edu,,,
191,95800,49542,University of Oregon,Eugene,OR,Public,,22887,22786,8662,83,22400,25,,1080,1270,22,28,,www.uoregon.edu,,,
192,99900,54020,Drake University,Des Moines,IA,Private,,4904,20073,21239,69,3606,27,,1100,1350,24,30,,www.drake.edu,,,
